preference,competence,norms,Q55,check1,check2,check3,sex,Sex - Other - Text,Age,Comments,FL_21 - Block Randomizer - Display Order,
"{""ImportId"":""userLanguage""}","{""ImportId"":""QID49""}","{""ImportId"":""QID51""}","{""ImportId"":""QID53""}","{""ImportId"":""QID55""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID57_2""}","{""ImportId"":""QID57_3""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_3_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""FL_21_DO""}"
3,3,3,4,,,,1,,16,12,regret|normative|competence|preference,
-3,,2,4,6,9,9,2,,40,,normative|attention|regret|preference,
3,0,,3,6,9,9,3,,24,Interesting ,attention|regret|competence|preference,
,-2,-1,5,6,9,9,1,,45,,attention|regret|normative|competence,
,0,3,4,6,9,9,2,,51,Would love to know if there is a right or wrong answer as to who was more competent.,regret|attention|competence|normative,
0,0,4,0,,,,1,,58,a bit tricky,preference|competence|normative|regret,
0,-1,-2,,6,9,9,1,,30,,normative|preference|competence|attention,
-5,5,,5,6,7,6,2,,59,,competence|regret|attention|preference,
,0,5,5,1,1,6,1,,35,,attention|normative|regret|competence,
-1,-3,-2,,6,9,9,1,,32,,normative|attention|competence|preference,
0,,-5,5,6,9,4,1,,34,,normative|preference|regret|attention,
,0,0,0,6,9,9,2,,34,,regret|competence|attention|normative,
-2,0,3,5,,,,2,,40,,preference|regret|competence|normative,
0,2,3,,3,7,6,1,,33,red is my favourite colour,competence|normative|preference|attention,
0,0,-3,0,,,,2,,31,,regret|normative|competence|preference,
0,,2,3,3,4,3,2,,34,,preference|normative|regret|attention,
-2,0,,2,6,9,9,2,,40,Interesting questions to ponder,preference|attention|regret|competence,
1,0,0,4,,,,2,,29,,preference|competence|normative|regret,
,0,0,0,5,4,5,2,,55,,competence|normative|attention|regret,
,0,-3,2,1,9,5,1,,29,N/A,regret|competence|normative|attention,
-3,-1,-4,,6,9,9,2,,43,,normative|attention|preference|competence,
0,0,-2,3,,,,2,,35,,regret|competence|preference|normative,
,2,1,0,5,4,3,2,,27,,competence|normative|attention|regret,
0,,0,0,6,9,9,1,,55,None,normative|preference|regret|attention,
0,0,0,,6,9,9,2,,24,,competence|normative|attention|preference,
-2,,-3,0,6,9,9,1,,31,,attention|regret|normative|preference,
0,0,,-2,6,7,5,1,,39,,attention|competence|regret|preference,
-1,0,-3,,6,9,9,2,,68,Nicely thought-provoking!,competence|normative|attention|preference,
,0,-4,4,6,9,9,2,,32,,normative|attention|competence|regret,
-2,,-3,4,6,9,9,2,,24,,preference|attention|normative|regret,
0,-3,1,,3,7,4,1,,37,None,attention|competence|normative|preference,
0,0,-1,0,,,,2,,47,nothing thank you,regret|competence|preference|normative,
,0,-1,0,2,9,7,2,,41,,attention|regret|normative|competence,
-3,,0,5,8,7,4,2,,30,thank you,preference|attention|regret|normative,
-5,0,0,0,,,,2,,24,,regret|competence|preference|normative,
,-3,4,5,6,9,9,1,,49,,competence|attention|normative|regret,
-4,-3,,5,1,2,7,1,,44,Nothing,competence|preference|attention|regret,
0,,2,0,3,3,3,2,,42,,regret|attention|normative|preference,
,0,0,0,1,9,1,2,,23,,normative|competence|regret|attention,
1,2,0,-3,,,,2,,33,,competence|regret|normative|preference,
-5,-5,-2,,3,9,7,2,,43,,attention|normative|competence|preference,
-2,,-4,3,6,9,9,2,,26,,normative|preference|regret|attention,
-4,-1,-4,4,,,,2,,44,,normative|competence|regret|preference,
-3,-3,,4,6,5,7,2,,19,,preference|competence|regret|attention,
,0,-2,3,6,9,9,1,,34,,normative|attention|regret|competence,
-5,-2,-4,,6,9,9,2,,73,,normative|preference|competence|attention,
0,0,,5,6,9,9,2,,21,,preference|regret|competence|attention,
,-1,-2,5,6,9,9,2,,32,,regret|normative|attention|competence,
-2,-3,,5,6,9,9,2,,32,,attention|competence|preference|regret,
-3,-3,-4,,6,9,9,1,,27,,competence|normative|preference|attention,
-5,-5,,5,2,9,3,2,,35,,competence|preference|regret|attention,
-3,,-4,5,6,9,9,2,,31,,attention|normative|regret|preference,
0,0,0,1,,,,2,,39,,normative|competence|regret|preference,
0,0,0,,6,9,9,2,,40,No comment.,competence|normative|preference|attention,
0,0,0,,9,9,4,2,,32,n/a,normative|preference|competence|attention,
0,0,-4,,6,9,9,2,,41,,competence|normative|preference|attention,
-5,-5,,5,6,9,9,1,,48,,attention|preference|regret|competence,
-3,0,,4,6,9,9,2,,29,,preference|competence|attention|regret,
,0,-2,3,6,9,9,2,,38,,competence|attention|normative|regret,
-1,,-2,0,4,8,7,2,,26,,attention|normative|preference|regret,
-2,-3,-4,,6,9,9,2,,29,,normative|attention|competence|preference,
2,1,1,,6,9,9,2,,54,,attention|competence|preference|normative,
-3,,0,5,6,9,9,1,,38,N/a,attention|normative|regret|preference,
-2,0,2,,6,9,9,2,,38,,preference|normative|attention|competence,
,2,-2,-3,6,9,3,2,,29,,competence|attention|regret|normative,
-1,-1,-2,,6,9,9,1,,27,,normative|competence|preference|attention,
,0,-4,0,6,9,9,2,,48,,regret|normative|competence|attention,
-4,-4,-5,,6,9,9,2,,30,The only reason I chose Paul and not George because George was stupid by switching ,attention|preference|competence|normative,
,0,-3,4,6,9,9,2,,40,,competence|regret|normative|attention,
0,0,0,2,,,,2,,38,,regret|competence|preference|normative,
-1,0,,3,3,8,7,2,,34,,competence|attention|regret|preference,
-3,0,-2,,6,9,9,1,,38,,competence|normative|preference|attention,
-2,,-1,3,6,9,9,2,,35,,regret|preference|normative|attention,
-2,,3,0,6,9,9,2,,32,,regret|preference|attention|normative,
,0,2,0,6,9,9,2,,35,,normative|attention|competence|regret,
-3,,0,0,6,9,9,2,,47,None,regret|attention|normative|preference,
0,0,,-2,6,9,9,1,,65,It’s hard to foresee the outcome of such an investment, unless you have insider information. ,competence|regret|attention|preference,
-1,-1,-3,,6,9,9,2,,43,,preference|normative|attention|competence,
-2,-3,-4,5,,,,2,,24,,preference|regret|competence|normative,
-2,-1,,3,6,9,9,2,,27,,regret|preference|competence|attention,
-4,-2,-3,,6,9,9,1,,28,,attention|normative|preference|competence,
,0,-2,0,6,9,9,2,,23,,normative|competence|attention|regret,
0,,-3,3,2,7,7,2,,23,,preference|normative|regret|attention,
,2,0,0,5,3,7,2,,18,,competence|regret|normative|attention,
,-1,-2,0,6,9,9,2,,36,,regret|normative|competence|attention,
-4,-4,,5,7,7,8,2,,53,,regret|attention|competence|preference,
0,,-3,0,6,9,9,2,,23,,attention|preference|regret|normative,
0,0,0,,1,2,7,1,,25,,normative|attention|competence|preference,
,-5,-3,4,6,9,9,2,,34,,attention|normative|regret|competence,
0,0,-4,-5,,,,2,,41,,competence|regret|preference|normative,
0,0,1,4,,,,2,,55,kind of hard to chose which one to go for as both lost money for their clients,normative|regret|competence|preference,
,1,1,5,5,5,1,2,,24,,competence|normative|regret|attention,
-3,0,-5,0,,,,2,,26,,competence|regret|normative|preference,
0,0,,3,6,9,9,2,,31,,attention|regret|preference|competence,
-1,,-1,-4,4,7,3,2,,32,,regret|preference|attention|normative,
-2,3,,3,6,7,9,1,,55,,competence|attention|regret|preference,
-4,,-4,1,2,9,2,2,,37,,normative|preference|regret|attention,
-2,,0,4,2,4,4,2,,48,,normative|regret|attention|preference,
2,,2,-2,6,9,9,1,,30,,preference|attention|normative|regret,
5,2,2,,6,9,9,2,,28,,normative|attention|preference|competence,
-4,,-3,5,1,7,5,2,,26,,regret|attention|normative|preference,
0,0,-2,3,,,,2,,47,,preference|competence|normative|regret,
0,-2,1,,4,7,3,1,,28,,competence|attention|normative|preference,
-5,,-4,5,6,9,9,2,,25,,normative|regret|attention|preference,
0,0,,5,6,9,9,2,,62,,attention|regret|preference|competence,
,0,0,0,6,9,9,2,,30,,normative|attention|regret|competence,
0,0,0,,6,9,9,2,,37,,preference|competence|normative|attention,
,-1,2,5,6,9,9,2,,35,none,regret|competence|normative|attention,
0,0,,5,6,9,9,2,,46,,attention|competence|regret|preference,
-3,-4,,2,2,5,5,2,,34,,preference|competence|attention|regret,
-2,,-1,-1,7,8,4,1,,54,All good....,attention|regret|normative|preference,
-5,-5,-5,,1,6,5,2,,45,,normative|attention|preference|competence,
,0,-3,2,6,9,9,2,,34,none,attention|regret|normative|competence,
0,-2,-3,,6,9,9,2,,48,None - thank you,attention|preference|normative|competence,
0,3,4,,4,7,5,1,,21,,competence|preference|normative|attention,
,0,0,5,1,9,5,1,,67,No comments, but thank you for offering the opportunity to have done so had I wished,regret|attention|normative|competence,
0,,5,-2,5,7,3,2,,66,,preference|normative|regret|attention,
0,,0,0,1,8,7,2,,27,,preference|regret|normative|attention,
-4,-3,0,5,,,,1,,27,,regret|normative|competence|preference,
5,2,0,5,,,,2,,27,,normative|regret|competence|preference,
-3,0,2,,3,7,4,1,,40,,attention|preference|normative|competence,
,0,0,0,6,9,9,1,,48,,attention|regret|competence|normative,
-4,-3,,4,6,9,9,2,,33,,regret|attention|competence|preference,
0,0,0,0,,,,1,,37,,normative|regret|preference|competence,
0,0,,0,6,9,9,2,,31,I think paul and george are the same because both clients could have been better off, neither was better than the other in this instance.,preference|competence|attention|regret,
,-2,1,2,6,6,6,2,,61,,regret|competence|attention|normative,
-3,,-5,3,6,9,9,2,,32,,attention|regret|preference|normative,
,0,5,-5,6,9,9,2,,35,,competence|attention|normative|regret,
-1,0,-3,3,,,,2,,39,,normative|regret|preference|competence,
-4,-2,0,5,,,,2,,54,,preference|regret|normative|competence,
0,0,0,0,,,,2,,39,No comment.,regret|preference|competence|normative,
-2,0,-2,,6,9,9,2,,60,,preference|attention|competence|normative,
-5,-5,-5,5,,,,1,,34,,preference|competence|normative|regret,
-1,,-1,3,6,9,9,1,,38,,preference|regret|normative|attention,
-2,0,-2,4,,,,3,,23,,competence|normative|regret|preference,
-5,,-5,5,6,9,9,2,,64,NO THANK YOU,regret|normative|preference|attention,
2,0,3,-5,,,,2,,36,,competence|normative|preference|regret,
,-2,0,4,6,9,9,2,,21,,attention|competence|regret|normative,
,0,0,0,1,9,7,2,,38,,regret|competence|normative|attention,
-1,0,-2,,6,9,9,1,,36,,competence|attention|preference|normative,
,0,-3,5,8,8,5,2,,32,,normative|regret|attention|competence,
0,-1,,5,2,6,6,1,,27,,preference|attention|regret|competence,
-3,-1,0,,6,9,9,3,N/B,25,,preference|normative|competence|attention,
0,0,,4,6,9,9,2,,29,,regret|attention|preference|competence,
-5,,0,5,6,9,9,1,,31,,normative|preference|regret|attention,
-1,0,-2,0,,,,1,,65,,competence|normative|preference|regret,
-2,1,-2,,6,9,9,1,,22,,preference|competence|normative|attention,
,0,0,0,6,9,9,2,,41,,normative|regret|attention|competence,
-2,-2,-3,,5,7,7,2,,25,,attention|preference|normative|competence,
,0,0,0,6,9,9,1,,62,,attention|normative|competence|regret,
1,0,1,,6,9,9,2,,33,,competence|preference|normative|attention,
,0,-2,3,6,9,9,2,,37,None,competence|regret|attention|normative,
-5,0,5,,6,9,9,2,,29,,attention|normative|preference|competence,
-1,-1,-3,,6,9,9,2,,22,,normative|preference|attention|competence,
-4,-5,0,,6,9,9,1,,29,,preference|normative|competence|attention,
-3,-1,-1,3,,,,2,,41,,competence|normative|preference|regret,
2,,1,0,4,7,8,2,,44,None thank you.,normative|preference|attention|regret,
3,2,2,,6,9,9,2,,23,,attention|normative|competence|preference,
5,0,5,,6,9,9,2,,27,,competence|attention|preference|normative,
,2,1,3,6,9,9,2,,36,,regret|normative|competence|attention,
0,0,-5,0,,,,1,,32,this is a difficult to judge survey as both are equally as wrong,competence|preference|normative|regret,
0,0,,0,6,9,9,1,,52,,regret|attention|competence|preference,
,-1,-2,0,6,9,9,2,,36,,attention|normative|regret|competence,
0,-1,,0,6,9,9,1,,53,Interesting study,preference|competence|attention|regret,
,0,3,2,6,9,9,2,,39,,regret|normative|competence|attention,
,0,0,3,3,5,1,2,,27,,competence|normative|attention|regret,
5,5,5,5,,,,2,,35,,regret|preference|normative|competence,
-3,0,-1,3,,,,1,,34,No,competence|regret|normative|preference,
-1,,3,2,6,9,9,2,,47,,regret|normative|preference|attention,
0,0,0,5,,,,2,,47,It was a strange study, as both financial advisors were wrong and I certainly would not be happy had I put my trust in either of them. ,competence|preference|regret|normative,
,-5,-5,5,6,9,9,3,Nonbinary,20,,competence|normative|regret|attention,
-3,,0,5,6,9,9,2,,36,,normative|regret|attention|preference,
,3,4,-4,7,5,7,1,,38,NA,regret|competence|normative|attention,
0,0,0,0,,,,1,,38,I felt I had to choose the middle ground for each question as both did what they THOUGHT was right for their client regardless of outcome.,normative|regret|competence|preference,
0,0,,2,6,9,9,2,,59,,competence|attention|preference|regret,
,0,0,4,6,9,4,2,,47,,attention|competence|normative|regret,
0,0,-4,5,,,,1,,26,,preference|competence|regret|normative,
0,0,,1,6,9,9,2,,31,,attention|preference|competence|regret,
0,0,-2,0,,,,2,,48,,preference|competence|normative|regret,
-2,0,-5,,6,9,9,2,,25,,normative|attention|competence|preference,
-1,,0,2,6,9,9,,,45,,attention|regret|normative|preference,
,0,0,0,6,9,9,2,,34,,attention|competence|normative|regret,
0,,-2,2,5,6,3,2,,21,,attention|regret|preference|normative,
,0,1,2,3,7,6,2,,37,,attention|normative|competence|regret,
,0,-2,5,1,7,4,1,,30,,competence|normative|attention|regret,
,-1,-1,-1,1,5,3,1,,40,,regret|competence|normative|attention,
-1,0,,3,6,9,9,2,,35,,preference|attention|competence|regret,
-2,0,-2,3,,,,2,,24,,preference|regret|competence|normative,
,3,3,4,7,5,5,1,,36,none,competence|attention|normative|regret,
0,0,-2,,1,9,6,1,,38,,preference|attention|normative|competence,
2,,1,4,6,9,9,2,,19,,regret|attention|preference|normative,
-1,0,-3,4,,,,1,,56,,normative|regret|competence|preference,
,0,0,0,1,6,7,2,,46,,normative|competence|regret|attention,
,-1,0,0,6,9,9,2,,40,N/A,attention|regret|normative|competence,
,5,5,-5,5,9,1,2,,54,,attention|regret|competence|normative,
-1,-1,0,2,,,,2,,49,,regret|preference|normative|competence,
0,-2,,0,6,9,9,2,,23,,regret|preference|attention|competence,
,-1,-1,5,6,9,9,2,,21,,regret|competence|normative|attention,
,-2,-3,4,6,9,9,1,,29,,normative|regret|attention|competence,
0,-1,3,2,,,,2,,52,,regret|normative|preference|competence,
,0,5,5,7,9,6,1,,23,,competence|attention|regret|normative,
-4,0,,3,6,9,9,2,,24,all good :~) ,competence|regret|preference|attention,
-3,,-2,5,6,9,9,1,,21,,normative|preference|regret|attention,
-2,1,,5,6,9,9,2,,33,,attention|preference|competence|regret,
0,0,0,,6,9,9,2,,67,,normative|attention|preference|competence,
0,,0,4,6,9,9,2,,42,,attention|regret|normative|preference,
,0,0,1,6,9,9,2,,40,,attention|normative|competence|regret,
-2,0,-3,5,,,,2,,18,,normative|regret|competence|preference,
,0,0,5,6,9,9,2,,29,,normative|attention|regret|competence,
-2,0,,4,6,9,9,2,,35,,regret|preference|attention|competence,
5,-5,-1,5,,,,2,,30,,regret|preference|normative|competence,
0,0,,3,6,9,9,1,,49,,attention|preference|regret|competence,
0,0,-4,,6,9,9,2,,31,,competence|normative|preference|attention,
-3,0,,0,6,9,9,2,,30,,regret|attention|competence|preference,
-3,-2,0,3,,,,1,,44,,normative|regret|preference|competence,
-3,-1,,4,6,9,9,2,,42,,preference|regret|competence|attention,
0,-1,2,,6,9,9,1,,36,,normative|preference|attention|competence,
2,-4,,5,6,9,9,1,,22,,preference|competence|regret|attention,
-1,,-2,-5,6,9,9,2,,22,,preference|attention|normative|regret,
0,0,1,,6,9,9,2,,58,,normative|competence|preference|attention,
-2,-2,-3,2,,,,2,,28,,normative|competence|preference|regret,
,0,2,3,6,9,9,2,,31,,normative|competence|regret|attention,
,2,-3,-3,8,7,5,1,,24,,competence|normative|regret|attention,
0,0,0,,2,9,9,1,,35,,attention|normative|competence|preference,
0,0,,3,7,7,6,2,,41,,competence|regret|preference|attention,
,0,0,5,2,6,5,2,,47,,regret|competence|normative|attention,
0,0,,0,8,6,6,2,,29,,attention|preference|competence|regret,
-5,-5,-5,5,,,,2,,57,,competence|regret|preference|normative,
-2,,-2,0,6,9,9,2,,57,|No,normative|regret|attention|preference,
0,0,0,-4,,,,2,,33,,regret|normative|competence|preference,
-2,-1,0,3,,,,2,,55,,preference|competence|regret|normative,
0,-2,,-4,6,9,9,2,,25,,competence|regret|preference|attention,
0,,2,0,6,9,9,2,,44,No comment,preference|normative|regret|attention,
1,0,0,3,,,,2,,44,,competence|regret|preference|normative,
-2,-3,-4,,6,9,9,2,,22,,normative|competence|attention|preference,
0,0,,0,6,9,9,1,,70,I question the value of the survey due to the fact that there was no information as to how and why they made their respective decisions.,preference|competence|regret|attention,
0,0,0,,5,8,7,2,,33,,preference|attention|normative|competence,
,0,-3,3,6,9,9,2,,29,,attention|normative|regret|competence,
1,-1,5,,6,9,9,2,,22,,attention|competence|normative|preference,
0,-1,-3,5,,,,1,,31,,preference|regret|competence|normative,
-4,0,,4,4,4,4,1,,26,,regret|preference|attention|competence,
-2,,0,4,6,9,9,1,,32,,preference|normative|regret|attention,
2,2,,-3,6,8,7,2,,30,,competence|preference|regret|attention,
-1,-1,-3,,6,9,9,2,,29,,attention|preference|competence|normative,
0,0,3,4,,,,2,,38,,competence|normative|regret|preference,
-2,-2,-3,,3,8,7,1,,28,,attention|competence|preference|normative,
3,3,-3,,3,7,9,2,,36,,preference|normative|competence|attention,
1,-2,1,4,,,,1,,22,,competence|normative|regret|preference,
0,0,-5,0,,,,2,,28,,competence|regret|normative|preference,
-5,0,1,2,,,,1,,19,None,preference|regret|normative|competence,
0,0,1,5,,,,2,,55,It's a hard job so it's really hard to say that any if the advisors were right or wrong,regret|competence|normative|preference,
-1,,-2,5,6,9,9,2,,28,,normative|regret|attention|preference,
0,0,0,,6,9,9,2,,53,none,attention|preference|competence|normative,
0,-2,3,3,,,,2,,43,,competence|regret|normative|preference,
0,0,-3,,3,9,9,2,,32,,preference|normative|competence|attention,
3,,4,4,3,7,7,2,,32,interesting,attention|preference|regret|normative,
0,0,-2,1,,,,1,,42,The double negative implication of the question phrasing was troubling - by answering that Paul or George was more competent or regretful should not be a polar choice,normative|preference|regret|competence,
,0,-3,3,6,9,9,2,,47,,attention|regret|normative|competence,
,-2,-4,5,6,9,9,1,,28,,attention|regret|normative|competence,
-2,-1,1,,3,8,2,1,,32,,competence|preference|attention|normative,
,0,0,5,6,9,9,1,,23,,regret|attention|competence|normative,
0,0,4,3,,,,2,,28,,normative|regret|competence|preference,
-2,,-5,-5,6,9,9,1,,37,,attention|normative|preference|regret,
-2,,2,2,6,9,9,2,,25,,attention|regret|normative|preference,
-3,,4,4,6,9,9,2,,35,,regret|normative|attention|preference,
0,-5,,5,6,9,9,1,,51,,preference|attention|regret|competence,
-1,0,,2,2,8,3,2,,52,,regret|attention|competence|preference,
-1,,-5,5,6,9,9,2,,26,,preference|regret|normative|attention,
,2,0,3,8,7,5,1,,28,none,regret|competence|normative|attention,
-3,0,,4,6,9,9,2,,26,,preference|competence|attention|regret,
0,,-3,1,6,9,9,2,,63,,preference|normative|regret|attention,
-1,0,,2,2,8,5,1,,46,,preference|competence|regret|attention,
0,0,3,,6,9,9,1,,45,,attention|competence|preference|normative,
,-1,-3,5,6,9,9,2,,59,,normative|regret|attention|competence,
,0,2,2,6,6,4,1,,28,Good survey,competence|normative|attention|regret,
-3,-3,1,,2,7,5,1,,55,,competence|normative|attention|preference,
0,0,,2,6,9,9,2,,44,,regret|attention|preference|competence,
,-1,0,3,6,9,9,2,,50,,attention|competence|regret|normative,
0,,0,0,1,4,2,2,,63,,normative|attention|preference|regret,
,0,-2,2,6,9,9,1,,48,,regret|competence|attention|normative,
-2,,0,2,6,9,9,2,,54,,attention|normative|regret|preference,
0,0,,0,6,9,9,2,,66,,competence|attention|preference|regret,
,0,-1,3,6,9,9,1,,65,,normative|attention|regret|competence,
-3,0,4,,6,9,9,2,,30,,preference|normative|competence|attention,
0,1,0,,6,9,9,2,,49,,attention|preference|normative|competence,
2,-3,3,,6,9,9,2,,62,I would prefer neither of the Financial people to be my advisor!!,competence|normative|preference|attention,
-1,0,-1,,6,9,9,2,,45,,attention|competence|normative|preference,
,0,-2,2,6,9,9,2,,23,,attention|regret|competence|normative,
0,0,,-5,6,9,9,2,,50,,competence|attention|preference|regret,
1,,-3,2,6,9,9,2,,37,,normative|regret|attention|preference,
0,0,0,4,,,,3,,48,,normative|preference|competence|regret,
-5,-5,-5,,6,9,9,3,,36,,normative|preference|attention|competence,
,1,-3,4,6,9,9,1,,38,,regret|normative|attention|competence,
1,0,0,,6,9,9,2,,48,,competence|normative|preference|attention,
2,-2,-2,,6,9,9,2,,26,,preference|normative|competence|attention,
1,,2,-5,3,9,7,2,,37,,attention|normative|preference|regret,
,-5,-5,-5,6,9,9,2,,26,,normative|attention|regret|competence,
0,5,,-5,2,6,2,2,,33,,regret|competence|attention|preference,
2,,1,3,6,9,9,2,,40,,normative|regret|preference|attention,
-5,-5,-5,5,,,,3,,36,,regret|normative|competence|preference,
-3,-5,,3,5,9,3,2,,61,,regret|attention|competence|preference,
-1,,-1,0,6,9,9,2,,49,,preference|regret|normative|attention,
0,0,,5,6,9,9,2,,40,,attention|competence|preference|regret,
-1,0,,5,6,9,9,1,,52,,preference|competence|attention|regret,
-3,3,,0,6,9,9,2,,35,,attention|regret|preference|competence,
,0,0,4,6,9,9,2,,34,,normative|attention|competence|regret,
-3,0,,5,6,9,9,2,,35,,attention|preference|regret|competence,
-2,-1,,2,6,9,9,2,,28,,attention|preference|competence|regret,
0,0,,-5,6,9,9,1,,35,,preference|regret|attention|competence,
,0,0,3,6,9,9,2,,56,,competence|attention|regret|normative,
0,,4,0,1,8,5,2,,40,,preference|attention|normative|regret,
-2,0,,3,6,9,9,2,,35,,preference|attention|regret|competence,
-2,,-1,3,2,7,5,1,,25,None.,preference|regret|normative|attention,
,0,-5,5,6,9,9,2,,30,,attention|competence|regret|normative,
,0,0,-4,6,9,9,2,,59,,regret|attention|normative|competence,
0,0,,3,6,9,9,2,,34,,attention|regret|competence|preference,
0,0,,-2,6,9,9,2,,19,,attention|preference|regret|competence,
0,0,0,4,,,,1,,54,,regret|normative|competence|preference,
0,0,0,,6,9,9,2,,27,Both pual and George are equal ,competence|attention|normative|preference,
,4,4,0,6,9,9,2,,25,,normative|attention|competence|regret,
1,-2,-3,3,,,,2,,29,,regret|normative|preference|competence,
,-2,2,3,6,9,9,1,,47,,normative|regret|attention|competence,
,0,-1,0,6,9,9,1,,19,,normative|competence|attention|regret,
1,1,-2,0,,,,2,,54,,competence|preference|regret|normative,
1,,0,0,6,9,9,1,,30,,attention|regret|normative|preference,
1,0,-2,,6,9,9,2,,61,,normative|competence|attention|preference,
-1,-1,1,,6,9,9,2,,47,,normative|preference|attention|competence,
-4,-3,,5,2,7,6,2,,33,,attention|competence|preference|regret,
1,,1,1,6,9,9,2,,51,Tried my best to answer but not sure about the stocks n sharesat all....😞 ,normative|preference|regret|attention,
0,0,0,,6,9,9,1,,26,,attention|normative|preference|competence,
-2,,0,3,3,8,6,2,,49,,regret|attention|preference|normative,
3,4,0,0,,,,,,37,,competence|preference|normative|regret,
,,,,,,,,,,,competence|regret|normative|preference,
0,-4,,5,5,7,7,,,,,attention|regret|preference|competence,
0,,,,3,6,6,,,,,preference|attention|normative|regret,
,,,,,,,,,,,normative|competence|preference|regret,
,,,,,,,,,,,,
-3,-2,-2,,3,7,6,,,,,preference|competence|normative|attention,
